,headlines,text,source,link
15477,"Questioned 11 times, 70 hours: Vadra posts on FB before ED questioning","Before heading to the Enforcement Directorate office on Thursday for questioning in a money laundering case, businessman Robert Vadra made a Facebook post. ""Till date, I have deposed 11 times with questioning of approximately 70 hours,"" he said. ""In the future also, I will cooperate as always, till my name is cleared of all false allegations and accusations,"" he added.",Hindustan Times,https://www.hindustantimes.com/india-news/vadra-appears-before-ed-again-after-questioning-of-approximately-70-hours/story-Ply3a3nCBju4D7nLIzjgvL.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15478,Rohtang Pass to open to tourists on June 1,"The 13,050-foot-high Rohtang Pass is set to open to tourists from June 1 onwards, according to district authorities. Kullu Deputy Commissioner Yunus said, ""Permits to 1,300 vehicles are being issued for each day. The pass will remain closed every Tuesday for maintenance purpose."" Earlier, Rohtang Pass was opened for the movement of small vehicles.",ANI,https://www.aninews.in/news/national/general-news/rohtang-pass-to-open-for-tourists-from-june-120190530043414/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15479,PM Modi pays tribute at Mahatma Gandhi memorial before swearing-in,"PM Narendra Modi paid tribute to Mahatma Gandhi at Rajghat and former PM Atal Bihari Vajpayee at Atal Samadhi, ahead of his swearing-in ceremony for the second consecutive term on Thursday. PM Modi also paid tribute to the martyred jawans at the National War Memorial in Delhi. The oath-taking ceremony is scheduled to start at 7 pm.",The Quint,https://www.thequint.com/elections/pm-narendra-modi-oath-taking-live-updates-swearing-in-ceremony-elections-2019?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15480,Murder angle in doctor case: Lawyer as autopsy shows neck injury,"The post-mortem report of postgraduate medical student Dr Payal Tadvi, who was found dead in her hostel room recently, has revealed evidence of a ligature mark on her neck. Tadvi family's lawyer said, ""From the circumstances of her death and bruise mark on her body, we can say that it must be a case of murder and not of suicide.""",ANI,https://www.aninews.in/news/national/politics/mumbai-doctor-suicide-post-mortem-report-reveals-ligature-mark-on-neck20190530015726/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15481,Man sues university for losing sex drive after not getting admission,"Kuldeep Mann, a 52-year-old Indian-origin man, has sued the James Cook University in Australia, for causing him ""mental torture"" that affected everything in his life, including his sex drive. The university had refused to grant him admission to a PhD course, accusing him of plagiarism. He is seeking $3.125 million in damages from the university.",Daily Mail,https://www.dailymail.co.uk/news/article-7075059/Aspiring-student-7-11-worker-sues-3million-lost-SEX-DRIVE.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15482,"Ex-Tehran Mayor confesses to killing wife, sips tea on Iran state TV","Mohammad Ali Najafi, former Mayor of Iranian capital Tehran, confessed to killing his wife over domestic issues on national television and surrendered to police. The 67-year-old politician, who's an MIT graduate, was seen sitting unhandcuffed and sipping tea inside the police station in footage aired by news broadcasters. The 35-year-old victim's body was found in a bathtub with bullet wounds.",Hindustan Times,https://www.hindustantimes.com/world-news/ex-tehran-mayor-67-shoots-35-year-old-wife-in-the-heart-surrenders/story-cuQ8koeUyx1KZNzkrXKbMM.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15483,16 women sue FBI over sexual discrimination: Report,"Sixteen women have filed a lawsuit against the US' Federal Bureau of Investigation (FBI) accusing it of discriminating against them on the basis of their gender at its training academy, the New York Times reported. More female agent trainees were dismissed from the academy as compared to males, the lawsuit alleged. A woman also claimed instructors made repeated sexual advances.",Reuters,https://www.reuters.com/article/us-usa-fbi-lawsuit/sixteen-women-sue-fbi-claiming-good-old-boy-training-discrimination-nyt-idUSKCN1T00F8?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15484,"Hero's Sunil Munjal owns 4.4% of Airtel Africa, invested $200 mn","Hero Enterprise Chairman Sunil Kant Munjal owns a 4.37% stake in Airtel Africa, which he bought for $200 million, according to the company's filings with London Stock Exchange for IPO. Munjal left India's largest two-wheeler maker Hero MotoCorp in an ownership split in 2016. While Airtel owns 68.31% in the subsidiary, Mittal family's Indian Continent Investment owns a 9.88% stake.",Bloomberg Quint,https://www.bloombergquint.com/business/heres-how-much-mittal-munjal-own-in-airtel-africa?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15485,More reason to make film after Sridevi: Boney on Mr India reboot,"Producer Boney Kapoor confirmed that he is planning a reboot of his 1987 film 'Mr India', which featured his late wife Sridevi and his brother Anil Kapoor in lead roles. ""After [Sridevi], I've even more reason to make the film,"" the producer said. ""The idea is to create a reboot first, and then make a franchise of it,"" Boney added.",Times Now,https://www.timesnownews.com/entertainment/news/bollywood-news/article/boney-kapoor-confirms-reboot-of-mr-india-says-after-sridevi-i-have-even-more-reason-to-make-the-film-now/427893?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15486,Anil dedicates Mr India's 32nd anniversary to late Veeru Devgan,"On the occasion of his film 'Mr India' completing 32 years of release, Anil Kapoor took to Twitter to share a post dedicating the film's anniversary to its late action director Veeru Devgan. ""Mr India was made iconic by its children-friendly action scenes and Veeru's Midas touch,"" Anil wrote. Devgan passed away on Monday after reportedly suffering a cardiac arrest.",Bollywood Hungama,https://www.bollywoodhungama.com/news/features/32-years-mr-india-anil-kapoor-pays-tribute-late-action-stunt-director-veeru-devgan/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15487,I'd jump at a role like Deepika's in Chhapaak: Katrina Kaif,"Katrina Kaif was asked during an interview what sort of role she would like to take up in the future, to which she said, ""[I]f a role like what Deepika (Padukone) is doing in 'Chhapaak' is offered to me, I'd jump at it."" Directed by Meghna Gulzar, 'Chhapaak' will see Deepika portray the role of acid attack survivor Laxmi Agarwal.",India.com,https://www.india.com/showbiz/katrina-kaif-reveals-she-would-love-to-play-this-role-from-deepika-padukones-film-3674343/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15489,Global Big Data software market will be worth $31B in 2019: Forbes,"According to a Forbes report, the global Big Data software market will be worth $31B this year, growing 14% from 2018. BITS Pilani's PG program in Big Data & Analytics helps professionals learn from BITS Pilani's faculty, provides 5+ case studies with hands-on learning and 1-1 mentorship. Learners have transitioned into companies like VMWare, Infosys, KPMG, Microsoft, Oracle and more.",upGrad,https://www.upgrad.com/big-data-analytics/?utm_source=newsinshorts&utm_medium=paid_pr&utm_campaign=BDA_newsinshorts_paidpr_30may19&utm_term=BDA_newsinshorts_paidpr_30may19_Programpitch
15490,Hazard scores twice as Chelsea defeat Arsenal to win Europa League,"Forward Eden Hazard scored twice as Chelsea defeated their London rivals Arsenal 4-1 to win the Europa League 2018/19. This is the second time that Chelsea have clinched Europa League after first winning it in 2012/13. Forward Olivier Giroud, who opened the scoring for Chelsea in the 49th minute, finished with most goals (11) in the Europa League this season.",UEFA,https://www.uefa.com/uefaeuropaleague/season=2019/matches/round=2000995/match=2025487/?utm_campaign=fullarticle&utm_medium=referral&iv=true&utm_source=inshorts
15491,Who are the world leaders attending PM Modi's oath-taking ceremony?,"Kyrgyzstan President Sooronbay Jeenbekov and Bangladesh President Abdul Hamid have confirmed their attendance at Narendra Modi's swearing-in ceremony for a second term as Prime Minister today. Apart from them, Presidents of Sri Lanka and Myanmar and Prime Ministers of Nepal, Mauritius and Bhutan as well as Thailand's Special Envoy will also be present in Rashtrapati Bhavan for the ceremony.",The New Indian Express,http://www.newindianexpress.com/nation/2019/may/29/bangladesh-myanmar-presidents-among-foreign-leaders-who-confirm-participation-at-modis-swearing-in-1983270.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15492,Actress Tanuja diagnosed with diverticulitis; to undergo surgery,"Veteran actress Tanuja, Kajol's mother, will undergo an operation for a condition called diverticulitis, which results in the inflammation or infection of small pouches called diverticula that develop along the walls of the intestines. The 75-year-old was admitted to Mumbai's Lilavati Hospital on Tuesday. The news comes two days after the demise of veteran action director Veeru Devgan, Kajol's father-in-law.",Hindustan Times,https://www.hindustantimes.com/bollywood/kajol-s-mother-tanuja-diagnosed-with-diverticulitis-to-undergo-surgery/story-OnOLUCMAEAY6J6kjSi0ujI.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15493,"Queen Elizabeth, Prince Harry meet World Cup captains, share pics","Queen Elizabeth and Duke of Sussex, Prince Harry, met the 2019 World Cup captains a day before the tournament starts. The official Twitter account of the royal family shared a group picture of captains with the Queen and another wherein India captain Virat Kohli, England captain Eoin Morgan and Bangladesh captain Mashrafe Mortaza can be seen interacting with Prince Harry.",Twitter,https://twitter.com/RoyalFamily/status/1133759449615749120?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15494,Cong to not send spokespersons for TV debate for a month: Surjewala,"Congress communications in-charge Randeep Singh Surjewala on Thursday announced that the party has decided to not send spokespersons on television debates for a month. ""All media channels/editors are requested to not place Congress representatives on their shows,"" he added. This comes amid reports of Rahul Gandhi planning to resign from the post of Congress President.",The Financial Express,https://www.financialexpress.com/elections/shooting-the-messenger-congress-to-not-send-spokespersons-for-tv-debates/1593071/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15496,"England, not India are favourites for World Cup: Sunil Gavaskar","Former India captain Sunil Gavaskar has said that England and not India are the favourites for 2019 World Cup. ""They have been playing outstanding cricket over the last few years and in familiar home conditions will be hard to beat,"" he added. England are currently the top-ranked ODI side in the world.",Cricket Country,https://www.cricketcountry.com/news/cricket-world-cup-2019-england-not-india-are-the-favourites-for-this-icc-world-cup-2019-sunil-gavaskar-849456?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15497,World number 2 Rafael Nadal races into third round of French Open,"World number two Rafael Nadal defeated German qualifier Yannick Maden to reach the third round at French Open. The 32-year-old defeated the 29-year-old 6-1, 6-2, 6-4 in two hours and nine minutes. Nadal has now won 88 of his 90 French Open matches.The 32-year-old will next face Belgian David Goffin.",ATP,https://www.atptour.com/en/news/nadal-maden-roland-garros-2019-wednesday1?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15499,Excessive gaming officially declared as addictive disorder by WHO,"The World Health Organisation (WHO) has officially declared excessive gaming as an addictive disorder. The WHO announced members states have agreed to adopt the 11th revision of its International Statistical Classification of Diseases and Related Health Problems (ICD-11), to which gaming addiction was added last year. The revised IDC-11 will come into effect on January 1, 2022.",ANI,https://www.aninews.in/news/tech/others/who-says-excessive-gaming-is-officially-a-disorder20190527230651/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15500,"'Inspired' by Pulwama, Hizbul tried copycat attack on CRPF convoy","The NIA has found that terror group Hizbul Mujahideen was behind the March 30 failed car bomb attack on a CRPF convoy in Banihal, J&K. Hizbul was ""inspired"" by Pulwama attack and ""wanted to gain international headlines so its Pakistan-based leader Syed Salahuddin is praised in that country,"" officials said. NIA learnt about the conspiracy while questioning arrested Hizbul terrorists.",Hindustan Times,https://www.hindustantimes.com/india-news/inspired-by-jaish-hizbul-mujahideen-tried-copycat-attack-on-crpf-convoy-in-j-k/story-LBXWcJcY5hxlFaR8vxZA3H.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15501,PM Modi pays tribute to martyred jawans at National War Memorial,"Prime Minister Narendra Modi visited the National War Memorial in New Delhi and paid tribute to martyred jawans on Thursday. Defence Minister Nirmala Sitharaman also accompanied PM Modi, along with Army Chief General Bipin Rawat, Navy Chief Admiral Sunil Lanba and Vice Chief of Air Force Air Marshal RKS Bhadauria.",ANI,https://www.aninews.in/news/national/politics/pm-modi-pays-tribute-to-jawans-at-national-war-memorial20190530075846/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15502,"Fire breaks out at Bengaluru airport eatery, no casualties","A fire broke out at the food joint 'Burrito Boys' at Bengaluru's Kempegowda International Airport in the early hours of Wednesday, triggering panic among passengers and staff. Authorities said, ""No one was injured in the incident and it had no impact on airport operations. An in-depth fire-safety audit is being carried out."" The joint was located away from the terminal.",The New Indian Express,http://www.newindianexpress.com/cities/bengaluru/2019/may/29/fire-breaks-out-at-bengaluru-airport-food-joint-none-hurt-1983454.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15503,"Kargil war veteran, who served 30 yrs in Army, declared 'foreigner'","Retired honorary Lieutenant Mohammed Sanaullah, who served the Indian Army for 30 years and also fought in the Kargil war two decades ago, has been declared a 'foreigner' by the Boko Foreigners' Tribunal in Assam. The 52-year-old's family approached the Gauhati High Court on Wednesday after he was sent to a detention centre for illegal immigrants by the tribunal.",The New Indian Express,http://www.newindianexpress.com/nation/2019/may/29/kargil-war-veteran-foreigner-sent-to-detention-camp-family-moves-court-1983377.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15504,"My last breakup forced me to analyse myself, my life: Katrina","Speaking about how things changed for her personally and professionally after her last breakup, Katrina Kaif said, ""After my...relationship...I was forced to analyse many things about myself and my life."" ""That phase made me read a lot. I wanted to understand how...human beings function,"" the actress added. Katrina further said that she learnt to face the things that upset her.",Times Now,https://www.timesnownews.com/entertainment/news/bollywood-news/article/katrina-kaif-on-life-after-breakup-with-ranbir-kapoor-i-stare-at-the-ghost-in-the-room-until-it-fades-away/427854?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15505,Fanboy moment: Farhan on pic with ex-cricketer Viv Richards,"Actor Farhan Akhtar took to Instagram to share a picture with former Windies captain Sir Vivian Richards, which was taken at the 2019 Cricket World Cup opening party in London. ""Full fanboy moment,"" the actor captioned the picture. The World Cup opening ceremony was co-hosted by the actor's girlfriend Shibani Dandekar.",Instagram,https://www.instagram.com/p/ByDF5INhBsE/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15506,MS Dhoni my favourite for no. 4 batting position: Harbhajan,"Off-spinner Harbhajan Singh has said MS Dhoni is his favourite to bat at number four for India in World Cup. ""He should be brought up the pecking order as he has the ability and experience to come in and hit sixes and attack any bowler,"" he added. He stated he doesn't want to see Vijay Shankar bat at number four.",CricTracker,https://www.crictracker.com/world-cup-2019-for-harbhajan-singh-its-ms-dhoni-who-is-ideal-for-no-4-batting-position/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15507,"India pace attack potent, Bumrah rarely has a bad day: Agarkar","Former India fast bowler Ajit Agarkar has said that India's fast bowling attack is very potent and the balance of all-round attack is good. ""We have seen what Jasprit Bumrah does, he rarely has a bad day, which is such a plus,"" he added. ""Mohammad Shami, in my opinion, should play ahead of Bhuvneshwar Kumar,"" he further said.",Cricket Country,https://www.cricketcountry.com/news/cricket-world-cup-2019-indian-pace-bowling-attack-potent-jasprit-bumrah-rarely-has-a-bad-day-ajit-agarkar-849466?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15510,Australia sues Sony for refusing faulty PlayStation game refunds,"Australian regulator ACCC has sued Sony Europe for violating law by refusing refunds on faulty PlayStation games. Sony also allegedly told customers it couldn't provide refunds unless the games' independent developer confirmed it was irreparably faulty. ""Sony Europe gave false and misleading information to customers about their rights in relation to games sold via PlayStation store,"" ACCC said.",Reuters,https://in.reuters.com/article/sony-australia-court/australia-sues-sony-for-refusing-refunds-on-faulty-playstation-games-idINKCN1SZ01J?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15511,China seeks explanation from FedEx after Huawei parcels diverted,"China has sought an explanation from American package delivery company FedEx over allegations that it diverted some of Huawei's parcels meant for Asia to the US. The Chinese telecom giant, which was recently blacklisted by the US, lodged a complaint with China's postal regulator regarding the diversion. The US has accused Huawei's products of facilitating Chinese espionage.",Livemint,https://www.livemint.com/companies/news/china-seeks-explanation-from-fedex-over-diversion-of-huawei-parcels-to-us-1559139175370.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15512,China military to replace Windows OS with custom OS: Report,"Beijing officials have reportedly decided to develop a custom operating system that will replace Windows OS on Chinese military computers. Reportedly, China is doing this in an effort to make it harder for foreign actors, mainly the US, to spy on its military operations. This comes amid the US blacklisting Huawei following which Google announced ending Android updates for it.",Times Now,https://www.timesnownews.com/technology-science/article/china-military-to-replace-windows-with-custom-os/427663?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15514,China accuses US of abusing WTO national security exception,"China has accused the US of abusing a national security exception at the World Trade Organization (WTO) by blacklisting Chinese telecom giant Huawei and cutting off its links with American suppliers. It warned that the move could have grave consequences for the global trading system. China further urged the US to ""immediately lift all unilateral sanction measures against Chinese companies.""",Bloomberg Quint,https://www.bloombergquint.com/global-economics/china-accuses-u-s-of-abusing-wto-national-security-exceptions?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15515,Largest steelmaker Arcelor cuts production over 'market weakness',"The world's largest steelmaker ArcelorMittal has said it is preparing to further reduce production in Europe due to 'continuing market weakness'. This is the second time in less than a month that the Lakshmi Mittal-led company has announced production cuts in Europe. This will be a temporary measure and will be reversed when market conditions improve, a company executive said.",Bloomberg Quint,https://www.bloombergquint.com/business/arcelormittal-cuts-production-as-steel-market-deteriorates?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15516,"A solar eclipse proved Einstein right, Newton wrong 100 years ago","English astronomer Arthur Eddington used May 29, 1919's total solar eclipse to prove Albert Einstein's theory that gravity can bend spacetime causing light to bend. This challenged Isaac Newton's theory of space being a fixed background on which gravity acts. The eclipse helped observe stars' positions during the daytime, showing a shift from their usual position due to Sun's gravity.",NASA,https://sunearthday.nasa.gov/2006/locations/einstein.php?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15518,"If not actress, Katrina should get married & produce children: Salman","While appearing in an interview with Katrina Kaif, Salman Khan was asked what he felt was an alternate career option for the actress, to which he replied, ""She should be married and produce children."" When Katrina intervened and said that the interviewer wanted to know what profession she would take up, Salman said that both marriage and children require work.",Bollywood Hungama,https://www.youtube.com/watch?utm_campaign=fullarticle&v=pYJgAcS0ht0&utm_medium=referral&utm_source=inshorts
15519,"Rahul Gandhi takes his dog for ride in car, pic goes viral","Congress President Rahul Gandhi took his dog for a ride in his car in New Delhi on Tuesday, a picture of which has gone viral on social media drawing many reactions. ""Like a common man...Congress President,"" a person commented on the picture. Rahul Gandhi last spoke to the media on May 23 after Congress' debacle in Lok Sabha elections.",The New Indian Express,http://www.newindianexpress.com/nation/2019/may/29/rahul-gandhi-takes-pidi-on-car-ride-1983384.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15522,"Election Commissioners' views in files, can be known by RTI: CEC","Chief Election Commissioner Sunil Arora has said that the views of individual Election Commissioners are written in files which can be accessed by the public by filing RTI applications. ""What is there to hide?"" said CEC Arora. This comes after Commissioner Ashok Lavasa's demand to record his dissent in the public orders related to cases of model code violations.",Times Now,https://www.timesnownews.com/videos/times-now/shows/frankly-speaking-with-cec-sunil-arora-exclusive-full-interview/32962?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15525,"PM Modi's oath biggest Rashtrapati Bhavan event with 8,000 guests","Nearly 8,000 guests will attend the swearing-in ceremony of Prime Minister Narendra Modi at the Rashtrapati Bhavan tomorrow, making it the biggest-ever event held there. The ceremony will be attended by leaders of the BIMSTEC member countries. Apart from world leaders, chief ministers, party leaders and members of Opposition, diplomats, ambassadors and celebrities will also attend the event.",Hindustan Times,https://www.hindustantimes.com/india-news/with-8-000-guests-modi-s-swearing-in-to-be-biggest-event-ever-at-rashtrapati-bhavan/story-RKSgZYYD0Q35Wfg727cMeL.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15526,"Indians should be allowed to play foreign T20 leagues, suggests Lara","Former Windies captain Brian Lara has suggested that Indian cricketers should be allowed to play foreign T20 leagues. ""It will be great to see the players from different countries coming together and playing in these leagues. It helps the game,"" he added. ""No hiding the fact that the Indian cricketers are the most attractive players,"" he further said.",Cricket Country,https://www.cricketcountry.com/news/brian-lara-backs-participation-of-indian-players-in-t20-leagues-849058?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15527,"ABHM leader, who shot at Gandhiji's effigy, gives knives to students","Akhil Bharat Hindu Mahasabha National Secretary Pooja Pandey distributed knives among Class 10-12 students, who scored well in exams, to commemorate Hindu Mahasabha leader VD Savarkar's birth anniversary on Tuesday. ""If Hindus want to protect themselves and their nation, they should learn how to use weapons,"" ABHM said. Pandey was arrested in February for shooting at Mahatma Gandhi's poster.",The New Indian Express,http://www.newindianexpress.com/nation/2019/may/29/hindu-mahasabha-gives-knives-to-children-on-v-d-savarkars-anniversary-1983261.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15528,Tumour in intestine: Robert Vadra seeks court nod to travel abroad,"Robert Vadra, accused in a money laundering case, on Wednesday sought court's permission to travel abroad for treatment, citing that he has a small tumour in his large intestine. A Delhi court reserved for June 3 its order on the application of Vadra. Enforcement Directorate opposed Vadra's plea over travel to the UK and two other countries citing health reasons.",PTI,https://repository.inshorts.com/articles/en/PTI/d6c23a43-d369-4dde-9223-14c03cff990f?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15529,"Man kidnaps woman's father, makes him say 'Marry him, he's good man'","Delhi Police has arrested a 24-year-old man for allegedly kidnapping a 20-year-old woman's father after she had refused to marry him. The accused forced the father to call the woman and say she should marry him as ""he was a good man and the best match for her"". The police arrested him by tracking the location of the mobile number.",Hindustan Times,https://www.hindustantimes.com/delhi-news/man-abducts-woman-s-dad-to-force-her-into-marriage/story-Pdg44Q37I94uBA7gwnO2LI.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15530,Kangana yet to record statement: Police on Aditya Pancholi case,"After Kangana Ranaut's sister filed a complaint against actor Aditya Pancholi accusing him of assaulting Kangana, the actress is yet to record her statement despite multiple reminders, police said. A detailed statement from Aditya was recorded at Mumbai's Versova Police Station earlier this month. Responding to the actress' sister's complaint, Aditya had earlier filed a defamation case against Kangana.",Times Now,https://www.timesnownews.com/entertainment/news/people/article/kangana-ranaut-yet-to-record-statement-despite-repeated-reminders-police-on-aditya-pancholi-case/427221?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15531,Viewing point atop Delhi's Signature Bridge by June 30,"The viewing point for tourists on the top of Signature Bridge in Delhi is likely to get ready by June 30, as per Tourism department officials. The glass box at a height of 154 metres will enable tourists to have a panoramic view of the city. However, government is yet to decide on its date of opening for the public.",Hindustan Times,https://www.hindustantimes.com/delhi-news/viewing-point-atop-signature-bridge-to-be-ready-by-june-30/story-rbShe0JCUVi9UZlc3c3IaL.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15533,Gehlot should resign over Cong's defeat in Raj LS polls: UP Dy CM,"Uttar Pradesh Deputy CM Dinesh Sharma on Wednesday said that Rajasthan CM Ashok Gehlot should resign from the post following Congress' ""defeat"" in the state in the general elections. He added that Gehlot had no ""moral authority"" to remain on the post. Criticising Gehlot further, Sharma said that he couldn't make his son Vaibhav Gehlot win from Jodhpur parliamentary constituency.",The New Indian Express,http://www.newindianexpress.com/nation/2019/may/29/gehlot-should-resign-uttar-pradesh-deputy-cm-dinesh-sharma-1983361.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15534,KCR to attend swearing-in of PM Modi and Jagan Mohan Reddy,"Telangana CM K Chandrashekar Rao said he'll first attend the swearing-in ceremony of YSRCP chief YS Jagan Mohan Reddy as Andhra Pradesh CM and then PM Narendra Modi's oath-taking ceremony tomorrow. President Ram Nath Kovind will administer the oath of office and secrecy to the PM and other Union Council members. Nearly 8,000 guests will attend PM Modi's oath ceremony.",ANI,https://www.aninews.in/news/national/politics/kcr-to-attend-pm-modis-swearing-in-ceremony-tomorrow20190529204515/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15535,Only Rahul can lead Congress in this crucial hour: Gundu Rao,"Karnataka Congress chief Dinesh Gundu Rao on Wednesday requested party President Rahul Gandhi to withdraw his resignation and continue on his post. ""We feel that he's the only person who can lead the party in this crucial hour,"" he said. ""The Congress Legislature Party has unanimously passed a resolution that Rahul Gandhi continues as the Congress President,"" Rao added.",ANI,https://twitter.com/ANI/status/1133758755592638465?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15536,Naidu not to attend Jagan Mohan Reddy's swearing-in ceremony,"Telugu Desam Party's (TDP) President N Chandrababu Naidu won't attend the swearing-in ceremony of YSR Congress Party's YS Jagan Mohan Reddy on Thursday. Instead, a TDP delegation will meet and congratulate Reddy at his residence before the ceremony. Telangana CM K Chandrashekar Rao will be attending the event and PM Narendra Modi and BJP President Amit Shah are also invited.",India.com,https://www.india.com/news/india/chandrababu-naidu-to-give-jaganmohan-reddys-oath-taking-ceremony-as-andhra-pradesh-cm-a-miss-3674208/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15537,"Continue, otherwise it will cause us pain: Sheila Dikshit to Rahul","Congress leader Sheila Dikshit met party's President Rahul Gandhi on Wednesday to request him to not resign. ""We want him to continue on his post, otherwise it'll cause us pain. We've conveyed that to him,"" she said. Lately, many other political leaders have met Gandhi to urge him to not resign and continue to lead the Congress party.",Hindustan Times,https://www.hindustantimes.com/india-news/rahul-don-t-quit-chorus-gets-louder-sheila-dikshit-to-hold-sit-in-outside-house/story-jjMxxWdS8tvTtJwIbDtsHP.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15538,Goa CM extends greetings on eve of 32nd Statehood Day,"Goa CM Pramod Sawant extended greetings to state people on the eve of the 32nd Statehood Day. Sawant said, ""It's a day to reflect on our achievements and evolve a strategy to achieve our much-desired status of a prosperous...advanced state."" Inaugurating home compost units, Sawant said everyone should buy them so that they can treat their waste on their own.",ANI,https://www.aninews.in/news/national/general-news/goa-cm-extends-greetings-on-statehood-day-eve20190529193340/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15539,Nominations for Padma Awards 2020 to continue till Sept 15,"Online nominations and recommendations for the Padma Awards 2020, which started on May 1, will continue till September 15, an official statement said. The awards seek to recognise 'work of distinction' and all citizens can make nominations/recommendations including self-nomination. Instituted in 1954, Padma Vibhushan, Padma Bhushan and Padma Shri are announced on the Republic Day every year.",ANI,https://www.aninews.in/news/national/politics/nominations-open-for-padma-awards-202020190529193501/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15540,Weatherman criticises TV show fans over tornado warning complaints,"A weatherman in the US criticised fans of the 'The Bachelorette' show after they complained that warnings of tornadoes had interrupted the broadcast of the show. ""Our job is to keep people safe...Some of you complained this is all about my ego. Stop. It's not. I'm done with you people...This is pathetic,"" Jamie Simpson said during the live broadcast.",Daily Mail,https://www.dailymail.co.uk/news/article-7078253/Ohio-weatherman-lambasts-viewers-complaining-live-tornado-bulletin-interrupting-show.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15542,Jet asks staff to extract server data before system blackout,"Jet Airways has asked its engineering staff to extract all aircraft maintenance data from systems as IBM-supported servers wouldn't be available from June 1. It added that both Jet Airways and JetLite AMOS Production Environment, a software package for managing aircraft data, won't be available. The DGCA has reportedly de-registered 80 Jet Airways planes after it suspended operations in April.",Times Now,https://www.timesnownews.com/business-economy/companies/article/jet-airways-asks-staff-to-extract-key-data-before-system-blackout-on-june/427682?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15543,Govt offices near Rashtrapati Bhavan to close at 2 pm for PM's oath,"Government offices around Rashtrapati Bhavan will close at 2 pm on Thursday in view of the swearing-in ceremony of newly-elected PM Narendra Modi. These offices include those located in North Block, South Block, Rail Bhavan, Vayu Bhawan, Sena Bhawan, DRDO Bhawan and Hutments. President Ram Nath Kovind will administer the oath of office and secrecy to PM at 7 pm.",Hindustan Times,https://www.hindustantimes.com/india-news/government-offices-around-rashtrapati-bhavan-to-close-early-on-thursday-for-swearing-in-ceremony/story-4qRz5A9PwIugNKdbsVWhiN.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
